County Reporting,Date of Interview,Name of Employer,# employees at work place,Size Category          Small(0-50)           Large (50+),# of tobacco users at work place,Does employer hire tobacco users?             --yes or no,"Does employer provide health insurance?  yes or no?  If no, proceed to column Y.",Please select type of insurance coverage:  self-insured or fully-insured,Insurance Carrier,"Please select one employer sector: government, healthcare, or business (including private or non-profit)",Any tobacco cessation coverage?,Patch NRT OTC Covered?                     -- Yes or No,Gum NRT OTC Covered?                      -- Yes or No,Lozenge NRT OTC Covered?                    -- yes or no,Covered OTC only?,Inhaler NRT RX Covered?                    -- yes or no,Nose Spray RX Covered?                    -- yes or no,Bupropion RX  Covered?                   -- yes or no,Varenicline RX Covered?                    -- yes or no,Covered RX only?,Covered both OTC and RX?,Individual Counseling Covered?                   -- yes or no,Phone Counseling Covered?                    -- yes or no,Group Counseling Covered?                      -- yes or no,Web Based Counseling Covered?    -- yes or no,Covered some types of counseling?,Covered all types of counseling?,Covers at least 2 Quit Attempts provided per year                  -- yes or no,Are a combination of both cessation medication and counseling covered?,"Any barriers to coverage, such as counseling before medications or    co-pays?             --yes or no","Extent of TFG Policy Coverage -- 100% SFG, 100% TFG, SFIW, or SFIWO     ",E-cigs included in policy as restricted yes or no,Silver FTCA Medication Criteria Met,Gold FTCA Medication Criteria Met,Baseline SOC      BENEFIT,Baseline SOC           TFG Policy,Baseline SOC            Promote Encourage Provide,BaselineWas a referral to a local AHEC  made for this employer this quarter?           Yes or No,Q-1        FY(13-14) SOC      BENEFIT,Q-1        FY(13-14) SOC      TFG Policy,Q-1        FY(13-14) SOC         Promote Encourage Provide,Q-1        Was a referral to a local AHEC  made for this employer this quarter?           Yes or No,Q-2        FY(13-14) SOC      BENEFIT,Q-2        FY(13-14) SOC      TFG Policy,Q-2        FY(13-14) SOC         Promote Encourage Provide,Q-2      Was a referral to a local AHEC  made for this employer this quarter?           Yes or No,Q-3        FY(13-14) SOC      BENEFIT,Q-3        FY(13-14) SOC      TFG Policy,Q-3        FY(13-14) SOC         Promote Encourage Provide,Q-3      Was a referral to a local AHEC  made for this employer this quarter?           Yes or No,Q-4        FY(13-14) SOC      BENEFIT,Q-4        FY(13-14) SOC      TFG Policy,Q-4        FY(13-14) SOC         Promote Encourage Provide,Q-4      Was a referral to a local AHEC  made for this employer this quarter?           Yes or No,"Briefly describe any progress made with this employer from baseline interview.                  (For example, has an employer strengthened a campus policy, instituted a no-hire policy,   increased benefit coverage, or made a decision to do so?  Have you sent this employer emails or information newsletters to maintain regular communication?  Have you spoken by phone or face-fo-face?)","Briefly describe any plans, opportunities or potential strategies to engage this employer in the coming quarter to move them from one stage of change to another."
Alachua,6/26/2013,Gator Dining/ Aramark,250000,2,99,99,1,99,1,3,77,99,99,99,77,99,99,99,99,77,77,99,99,99,99,77,77,2,77,77,1,99,77,77,1,1,1,No,1,1,1,No,1,1,1,No,1,1,1,No,1,1,1,No,None. ,None.
Alachua,4/29/2013,Sandvik,202,2,99,99,99,99,99,3,77,99,99,99,77,99,99,99,99,77,77,99,99,99,99,77,77,2,77,77,1,99,77,77,3,5,5,No,3,5,5,No,4,5,5,No,4,5,5,No,1,5,5,No,None. ,None. 
Alachua,99,Alachua County School Board,4000,2,99,99,1,99,4,4,1,99,99,99,77,99,99,99,99,77,77,99,1,99,99,1,77,99,77,99,1,99,77,77,1,5,5,No,1,5,5,No,1,5,5,No,4,5,5,No,1,5,5,No,None. ,None.
Alachua,99,City of Gainesville ,2400,2,99,99,1,99,5,5,77,99,99,99,77,99,99,99,99,77,77,99,99,99,99,77,77,99,77,99,2,99,77,2,1,1,1,No,1,1,1,No,1,1,1,No,1,1,1,No,1,1,1,No,None. ,None.
Alachua,99,Alachua County ,2300,2,172,99,99,99,99,6,1,1,1,99,1,99,99,99,99,77,77,99,1,99,1,1,77,99,1,99,2,99,77,77,1,2,2,No,1,2,2,No,2,3,3,Yes,2,3,3,No,1,4,3,No,All Alachua County owned buildings have recently adopted a stricter tobacco policy -- desig88ted smoking areas 50ft. from buildings -- sig88ge is currently being installed at all locations. ,Tobacco Free Alachua continues to be a resource for the Alachua County Wellness Coordi88tor Amy Childs. 
Alachua,8/1/2013,Affiliated Engineers Inc.,47,1,3,1,1,99,1,3,77,99,99,99,77,99,99,99,99,77,77,99,99,99,99,77,77,99,77,99,3,99,77,77,1,1,2,No,1,1,2,No,1,1,1,No,1,1,1,no,1,1,1,No,None. ,None.
Alachua,7/17/2013,ARC of Alachua County,250,2,62,1,1,2,6,3,77,99,99,99,77,99,99,99,99,77,77,99,99,99,99,77,77,99,77,99,3,99,77,77,2,3,3,Yes,1,3,3,Yes,2,3,4,Yes,2,3,4,Yes,2,3,4,Yes,"The ARC of Alachua County continues to pursue its 77% tobacco-free grounds policy. As of January the tobacco-free policy has been approved by the ARC board of directors. The tobacco-free committee continues to plan for the implementation of the policy and is currently focused on promoting cessation services, enhancing communication channels and evaluation prep. ","Tobacco Free Alachua will continue to work with the ARC up through their policy launch date of October 1, 2014. "
Alachua,9/11/2013,B & B Office Supplies,18,1,5,1,1,2,4,3,77,99,99,99,77,99,99,99,99,77,77,99,99,99,99,77,77,99,77,99,3,99,77,77,1,2,2,No,1,2,2,No,2,3,3,Yes,2,4,4,No ,1,5,5,No,"B&B Office Systems has successfully implemented its 77% tobacco-free grounds policy as of January 1, 2014. Since the adoption of this policy, 1 B&B employee has successfully quit tobacco and a second employee is attempting to quit.  ","On February 19, 2014 Tobacco Free Alachua awarded B&B with a plaque to celebrate the adoption of their policy. Tobacco Free Alachua used this event as an earned media opportunity and was featured in the Gainesville Area Chamber of Commerce e-jour88l, an electronic news source for the local business community. "
Alachua ,12/5/2013,Union Properties of Gainesville ,12,1,99,1,99,99,99,3,77,99,99,99,77,99,99,99,99,77,77,99,99,99,99,77,77,99,77,99,3,2,77,77,1,1,2,No,99,99,99,99,1,1,2,No,1,1,1,No,1,1,1,No,None. ,None. 
Alachua ,12/6/2013,Dugger Associates and Insurance,99,2,99,1,1,99,1,3,77,99,99,99,77,99,99,99,99,77,77,99,99,99,99,77,77,99,77,99,4,2,77,77,1,1,1,No,99,99,99,99,1,1,1,No,1,1,1,No,1,1,1,No,None. ,None. 
Alachua ,12/18/2013,Prudential Trend Realty ,99,1,99,1,1,2,11,3,88,99,99,99,77,99,99,99,99,77,77,99,99,99,99,77,77,99,77,99,4,2,77,77,1,1,1,No,99,99,99,99,1,1,1,No,1,1,1,No,1,1,1,No,None. ,None. 
Alachua ,2/7/2014,BBI Construction ,99,1,99,1,99,99,99,3,77,99,99,99,77,99,99,99,99,77,77,99,99,99,99,77,77,99,77,99,4,99,77,77,1,2,1,No,99,99,99,99,99,99,99,99,1,1,1,No,1,1,1,No,"Conversations with BBI Construction have stalled because they are not currently a high priority. Efforts are going towards the ARC of Alachua County's transition, and pursuing other, more strategic relationships. ","BBI Construction does not currently have a tobacco-free policy nor any tobacoc users on staff, but they are interested in adopting a tobacco-free policy to show their leadership in the business community and acknowledge the importance of healthy workplaces.  "
Alachua ,2/10/2014,Central Builders Supply,99,1,99,1,99,99,99,3,77,99,99,99,77,99,99,99,99,77,77,99,99,99,99,77,77,99,77,99,3,99,77,77,1,1,1,No,99,99,99,99,99,99,99,99,1,1,1,No,1,1,1,No,None. ,After speaking with Central Builders Supply staff it was clear they were not interested in furthing our conversation.  
Alachua ,3/5/2014,CareerSource NCF,99,1,99,1,99,99,99,1,77,99,99,99,77,99,99,99,99,77,77,99,99,99,99,77,77,99,77,99,4,99,77,77,1,2,2,No,99,99,99,99,99,99,99,99,1,2,2,No,1,2,2,No,Tobacco Free Alachua staff have continued to pursue conversations with Career Source staff about the benefits of tobacco-free policies at community networking events.  ,Tobacco Free Alachua staff continue to foster a relationship with Career Source staff in regards to the benefits of a tobacco-free policy. Staff will continue to engage Career Source contacts at community networking events. 
Alachua ,4/17/2014,Honda of Gainesville ,99,1,99,1,99,99,99,3,77,99,99,99,77,99,99,99,99,77,77,99,99,99,99,77,77,99,77,99,4,99,77,77,1,1,2,No,99,99,99,99,99,99,99,99,99,99,99,99,1,1,1,No,88,"Honda of Gainesville has expressed interest in cessation services and asked that staff contact them during their open enrollment period, Aug/Sept of 2014. "
Alachua ,4/22/2014,Hitchcock's Markets,99,2,99,1,99,99,99,3,77,99,99,99,77,99,99,99,99,77,77,99,99,99,99,77,77,99,77,99,3,99,77,77,1,2,2,No,99,99,99,99,99,99,99,99,99,99,99,99,1,1,1,No,88,None. 
Alachua ,5/29/2014,GRU ,99,2,99,1,1,99,99,3,77,99,99,99,77,99,99,99,99,77,77,99,99,99,99,77,77,99,77,99,3,99,77,2,1,1,1,No,99,99,99,99,99,99,99,99,99,99,99,99,1,1,1,No,88,"Mr. Clark, Wellness Coordi88tor with GRU and the City of Gainesville, initailly reached out to TFA staff to request a presentation about the dangers of tobacco to his employees. TFA will coordi88te with Mr. Clark to set up a presentation to discuss the benefits of tobacco-free policies. "
Baker,9/18/2012,Maccleanny Nursing & Rehab Center,150,2,40,99,1,99,7,2,1,99,99,99,77,99,99,1,1,77,77,99,99,99,99,1,77,2,77,1,3,77,77,99,5,5,1,Yes,5,5,1,Yes,5,5,2,Y,5,5,2,Y,5,5,2,Yes,"Employer was going to see if staff or clients were interested in having cessation classes on sight.  Never responded to phone or e-mail messages.  1/3 employees on insurance plan.  11-14-2013 Phoned and sent flyer for AHEC classes.  Will poll residents and staff to find if there is interest in an on-site cessation class.  Will also inquire if there have been any issues with e-cigs.  12-30-2013  Phoned.  As yet, no interest in cessation classes.  Inquiry made to higher mgt. regarding e-cigs.  They had asked last year if there was a need for a policy change to include e-cigs but hadn't received an answer.  2-20-2014 Sent e-mail with flyer for next cessation classes.  Asked if there's any interest in having classes there.  No response.  4-10-2014 Spoke face to face about the possibility of having on-site classes for employees or residents.  4-16-2014 Sent flyer for classes and offered assistance.  6-16-2014 Sent flyer for July classes.  6-20-2014 Interacted with ma88ger at a community event.  6-24-2014 Ma88ger asked me to speak about our program at Rotary Club.",Continue to send flyers about cessation classes.  Try to get a response about an on-site class.  2-20-2014 Continue to send flyers and stay in touch.  6-26-2014 Build on the relationship that is forming.
Baker,2/19/2013,Burnham Constuction,26,1,3,1,1,99,99,3,77,99,99,99,77,99,99,99,99,77,77,99,99,99,99,77,77,2,77,1,1,99,77,77,2,5,5,Yes,4,5,4,Yes,5,5,5,Y,5,5,5,Y,5,5,5,Yes,4-16-2014 Sent flyer for classes.  6-16-2014 Sent flyer for July classes and received a friendly response.  The flyers will be sent out with paychecks.,Continue to send flyers about cessation classes.  11-14-2013 Continue to keep in touch and send flyers.  2-20-2014 Continue to send flyers for them to promote classes.  6-26-2014  Keep in touch about classes.
Baker,5/30/2013,Burkins Chevrolet,22,1,99,1,1,2,2,3,88,99,99,99,77,99,99,99,99,77,77,99,99,99,99,77,77,2,77,1,1,99,77,77,1,1,4,Yes,1,1,4,Yes,1,1,5,Y,1,1,5,Y,1,1,5,Yes,Only 6 employees have the insurance.  It is very expensive and they had to get an exception to offer if for so few.  The smoke-free policies are enforced for employees but not clients.  Several employees use tobacco and flyers were posted for AHEC classes and TFF before I left. Tobacco Free Grounds signs were offered for posting but they have yet to accept.  11-14-2013 Phoned (not in).  Sent e-mail and flyer for next cessation classes.  No response.  2-20-2014  E-mailed flyer for upcoming cessation classes.  4-16-2014 and 6-16-2014 Sent e-mail with flyer about classes.  No response either time.,6-26-2014  No interest has been shown by employer but will continue to send info about classes.
Baker ,12/7/2012,County Federal Credit Union ,13,1,0,1,1,2,1,3,88,99,99,99,77,99,99,99,99,77,77,99,99,99,99,77,77,2,77,1,2,99,77,77,1,1,5,Yes,1,1,5,No,1,1,5,Y,1,1,5,Y,1,1,5,Yes,Participated in GAS last year and posted materials.  Aren't aware of any tobacco users.  No tobacco policies.  11-15-2013  Sent e-mail asking for update on any policies or benefits or any issues with e-cigs.  Sent AHEC flyers.  No response.  2-20-2014 Sent flyer for TTQ class on March 8.  Flyers sent on 4-16-2014 and 6-16-2014.,Attempt contact to determine if any changes have been made regarding tobacco policies.  11-15-2013  Continue to send flyers.  2-20-2014 Never responds.  Continue to send flyers.  6-26-2014 Employer has shown no interest. 
Baker,9/23/2013,Baker County School District,600,2,99,1,1,2,1,1,88,99,99,99,77,99,99,99,99,77,77,99,99,99,99,77,77,2,77,1,2,1,77,77,1,5,4,Yes,88,88,88,88,1,5,4,Y,4,5,4,Y,5,5,5,Yes,"No cessation benefits could be found when accessed online.  An insurance committee decides on the plan.  The 1 rep had referred the benefits person to check online.  She was surprised there were no cessation benefits and took flyers about AHEC classes and TFF to post.  10-14-2013 Attended SHAC meeting.  1 Rep was there presenting a wellness program.  Employees can earn up to $350 for completing health and wellness activities.  They have online and telephone coaching that uses best practices for Smoking Cessation (4 calls for telephone coaching and 5 weeks for online coaching)and say there are discounts for cessation products.  Sent flyers for AHEC classes and received response that they had been sent out.  2-20-2014 Sent flyer for TTQ class for March 8 and received response that it was being sent out.  Was contacted by a school health nurse who said she would give incentives to employees who attended cessation classes as part of their wellness plan. 4-16-2014 Sent flyers for classes. 5-15-2014 attended School Health Advisory meeting reports were given on the school employees Wellness Challenge.  1 gave a $10,000 grant which was used for incentives for participants.  They were given gift cards for completing challenges.  Three people quit smoking.  6-16-2014 Sent flyers for classes and received response that they were proud of their tobacco free employees and would distribute the flyers.",Will be attending the School Health Advisory Council where the 1 rep will be presenting a new wellness plan.  Will question regarding cessation benefits.  11-14-2013  Will continue to send flyers.  2-20-2014 Continue to send flyers for promoting classes to employees.  6-26-2014 Keep sending flyers.
Baker,12/6/2013,Baker County Board of Commissioners,250,2,99,1,1,2,1,1,88,99,99,99,77,99,99,99,99,77,77,99,99,99,99,77,77,99,77,99,4,2,77,77,1,2,4,Yes,99,99,99,99,99,99,99,99,4,2,4,Y,5,2,4,Yes,"1 Rep sent links to specialty meds and a link to quitting tobacco that included articles about tobacco dangers, effects, developing a plan for tobacco cessation, and a list of resources to find support in quitting as well as quitlines.  In searching the meds, none were found to aid in cessation.  No mention was made of counseling sessions or covering costs in the resources.  The contact would like to have a policy for smoke-free vehicles. Flyers for cessation classes will be put in paychecks.  2-20-2014 Sent e-mail with flyer for TTQ class in March.  4-16-2014 and 6-16-2014flyers were sent for classes.  Asked about progress on tobacco free policies and the reply was that the budget was top priority  now but tobacco free policies would be kept on the list for discussion.  Also sent e-mail to the County Ma88ger asking him if they had considered adopting a tobacco free workplace.  The benefits were listed along with the costs of tobacco use.",Continue to send flyers and inquire if any progress has been made toward smoke-free grounds or vehicles.  2-20-2014 Continue to send flyers to promote cessation classes. 6-26-2014 Keep in contact and continue info regarding classes.
Baker,2/25/2014,City of Macclenny,40,1,99,1,1,2,1,1,88,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,4,2,2,2,3,1,3,Yes,88,88,88,88,88,88,88,88,88,88,88,88,3,2,4,Yes,Research done prior to the meeting shows only an Online Health Coach:  Smoking Cessation Program.  The insurance has gotten very expensive.  TFF resources will be shared with employees.  HR Ma88ger was asked to consider a tobacco free workplace and bring it up to the insurance committee.  4-16-2014 and 6-16-2014 flyers for cessation classes were sent.  6-16-2016 sent e-mail to City Ma88ger asking if the City Council had considered adopting a tobacco free workplace.  He responded that they were considering it and how to implement it.,Continue to send flyers.  6-26-2014 Build on relationship with City Council from the recent adoption of the flavored tobacco resolution.
Baker,4/3/2014,"Insteel, Inc.",76,2,15,1,1,2,1,3,88,1,1,1,2,1,1,1,1,2,1,2,2,2,2,2,2,2,2,1,4,2,2,2,3,2,4,Yes,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,Employer referred all tobacco users to TTQ which was provided on-site.  Kept in touch by phone and e-mail.  Presented an award to the company at the Partnership meeting for providing cessation for their employees.,Continue to promote TFF services and tobacco free workplace.
Bay,9/20/2012,"Life Management Center
Attn: Rebekah Taylor          Elizabeth Austill
525 East 15th Street
Panama City FL 32405
",317,2,16,1,1,2,6,2,88,77,77,77,77,77,77,77,77,77,77,2,2,2,2,2,2,2,77,2,3,2,77,77,4,5,4,77,4,5,4,No,4,5,4,Yes,4,5,4,No,1,2,4,yes,"Florida Department of Health in Bay County staff member, Tanya Sharp met with Elizabeth Austill, HR Dept. on June 18th to update the prior assessment data and offer support and material.  Tanya learned that Life Ma88gement was incorrectly categorized as having TFG but instead should be SFIW; however, Ms. Austill expressed that the CEO had an interest in implementing TFG policy in the next couple of years.  Tanya referred Life Ma88gement to AHEC, gave upcoming class info. and shared material to support ECC objectives.  Data verified on assessment tool was updated.  Also, World No Tobacco Day Posters were sent to Life Ma88gement in May for posting within workplace.","Next quarter, 88tio88l observance, cessation material and notifications will be delivered.  Follow up with Life Ma88gement Center will be made by phone, email or in person to continue updating information and give assistance to support employer's policy and benefit changes."
Bay,12/17/2012,"Chick-Fil-A
Attn:  Meghann Pipes
11428 Back Beach Road
Panama City Beach FL 32407
",77,77,77,1,77,77,77,3,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,2,77,77,3,77,77,77,1,1,1,77,1,1,1,No,1,1,1,Yes,1,1,1,No,1,1,1,no,"Contact was made by phone with Chick-Fil-A staff this quarter whereby it was found that Meghann Pipes would be the contact person to speak with, however, she was out of town and could not be reached again until sometime in July.  A message was left and follow up will be done next quarter to update assessment tool data and meet with company to offer support and material in support of ECC objectivies.","A perso88l meeting with Meghann would be advantageous to gather updated status of assessment tool data to gain insight on how our tobacco prevention program can be of assistance with Chick-Fil-A's tobacco control policies,  promotion of 3-ways to quit, and making cessation services available to their employees."
Bay,12/17/2012,"Science and Discovery Center
ATTN: Linda Macbeth
308 Airport Road
Panama City FL 32405
",10,1,0,1,2,88,88,3,77,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,2,2,88,88,1,1,1,77,1,1,1,No,1,1,1,Yes,1,1,1,No,1,5,1,no,"FDOH in Bay County staff member, Tanya Sharp met with Linda MacBeth, Executive Director of Science & Discovery Center to update assessment tool data and discuss support and material for empoyee cessation benefits.  Science & Discovery was found to maintain a TFG but no longer provided health insurance to the employees due to budget cuts. Data verified on assessment tool was updated.  Ms. MacBeth indicated none of their 10 employees were tobacco users, however, Linda took material to post for anyone that might benefit from the info.   In May, World No Tobacco Day posters were provided",This local employer has maintained a TFG and will continue to promote TFF 3 ways to quit as much as possible.  With cancellation of health coverage and non-tobacco using employee base there is little future regular contact needed other than tobacco control observance or cessation material being provided.
Bay,3/15/2013,"Boyd Brothers, Inc.
ATTN: Pamm Brewster
425 East 15th Street
Panama City FL 32405
",95,2,38,1,1,2,6,3,1,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,77,1,2,3,2,2,2,1,1,1,77,1,1,1,No,1,1,1,Yes,1,1,1,No,1,1,2,Yes,"FDOH in Bay County staff member, Tanya Sharp met with Pamm Brewster, HR Director for Boyd Brothers to update assessment tool data and discuss support and material for employee cessation benefits.  Tanya learned that Boyd Brothers has 95 employees with 40% tobacco users estimated.  Data verified on assessment tool was updated.  Pamm expressed interest in our program, information and implementing the promotion of cessation services to the employees.  Pamm had a perso88l interest in participating to quit using tobacco herself.  Boyd Brothers has a SFIW campus with very little history of tobacco control policy, however, this meeting opened the door to make changes in the future.","Next quarter, 88tio88l observance, cessation material and notifications will be delivered.  Follow up with Boyd Brothers will be made by phone, email or in person to continue updating information and give assistance to support employer's policy and benefit changes."
Bay,3/21/2013,"VBA Design
ATTN: Victoria Williams
465 Harrison Avenue
Panama City FL 32401
",6,1,0,1,2,88,88,3,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,3,2,88,88,1,1,1,77,1,1,1,No,1,1,1,Yes,1,1,1,No,1,1,1,No,"FDOH in Bay County staff member, Tanya Sharp met with VBA Design Victoria Williams's assistant on June 18th to update assessment tool data and discuss support and material for employee cessation benefits and tobacco control policies.  Tanya learned that VBA Design did not offer insurance to their employee base of 6 persons and had a SFIW campus with city sidewalk and alley right-of-ways.  Data verified on assessment tool was updated.  The company expressed an interest to no longer receive updates or material in the future given their size and needs.","No further contact is planned for this employer since due to city right-of way SFIW is mandated, no employee insurance provided for 6 person staff, and no interest in tobacco control or cessation material.  "
Bay,6/24/2013,"Gulf Dental Center
ATTN: Office Manager
1560 Jenks Avenue
Panama City FL 32405
",7,1,0,1,2,88,88,3,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,77,77,88,88,1,1,1,77,1,1,1,No,1,1,1,Yes,1,1,1,No,1,1,1,no,"FDOH in Bay County staff member, Tanya Sharp met with Gulf Dental's office ma88ger and insurance specialist on June 24th to update assessment tool data and discuss support and material for employee cessation benefits and tobacco control policies.  Tanya learned that Gulf Dental employeed 7 non-tobacco users and did not provide any insurance benefits to their employees.  Tanya provided material and contact information if they should need anything in the future.",This employer appreciated the information and material but expressed little need for regular contact for 7 person non-tobacco using staff and no insurance benefits in place.  No further contact is planned for this employer. 
Bay,6/25/2013,"Panama City Toyota
ATTN: Kim Atwater
959 West  15th Street
Panama City FL 32401
",77,2,45,1,1,2,6,3,1,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,1,4,2,77,77,1,1,1,77,1,1,1,No,1,1,1,Yes,1,1,1,No,1,1,2,no,"FDOH in Bay County staff member, Tanya Sharp met with Kim Atwater, HR Director for Pa88ma City Toyota to update assessment tool data and discuss support and material for employee cessation benefits and tobacco control policies.  Tanya learned that PC Toyota had 77 employees with 45% tobacco users estimated.  Kim expressed interest in our program, information and implementing the promotion of cessation services to the employees.  Data verified on assessment tool was updated.  PC Toyota has a SFIWO campus with very little history of tobacco control policy, however, this meeting opened the door to make changes in the future.","Next quarter, 88tio88l observance, cessation material and notifications will be delivered.  Follow up with Pa88ma City Toyota will be made by phone, email or in person to continue updating information and give assistance to support employer's policy and benefit changes."
