"","mosquito","site1","site2","site3","site4","site5","site6","code","nTraps","date","site7","site8","site9","site10"
"31","Wyeomyia  mitchellii",NA,NA,NA,NA,NA,NA,80,6,2008-04-01,NA,NA,NA,NA
"32","W.  vanduzeei",NA,NA,NA,NA,NA,NA,82,6,2008-04-01,NA,NA,NA,NA
"33","Aedes albopictus",NA,NA,NA,NA,NA,NA,2,6,2009-04-06,NA,NA,NA,NA
"34","A. aegypti",NA,NA,NA,NA,NA,NA,3,6,2009-04-06,NA,NA,NA,NA
"35","A. vexans",NA,NA,NA,NA,NA,NA,1,6,2009-04-06,NA,NA,NA,NA
"36","Ochlerotatus atlanticus",NA,NA,NA,NA,NA,NA,9,6,2009-04-06,NA,NA,NA,NA
"37","O. dupreei",NA,NA,NA,NA,NA,NA,18,6,2009-04-06,NA,NA,NA,NA
"38","O. fulvus pallens",NA,NA,NA,NA,NA,NA,8,6,2009-04-06,NA,NA,NA,NA
"39","O. infirmatus",3,NA,NA,NA,NA,1,7,6,2009-04-06,NA,NA,NA,NA
"40","O.  mitchellae",NA,NA,NA,NA,NA,1,6,6,2009-04-06,NA,NA,NA,NA
"41","O. solicitans",NA,NA,NA,NA,NA,NA,15,6,2009-04-06,NA,NA,NA,NA
"42","O.  taeniorhynchus",NA,NA,NA,NA,NA,NA,5,6,2009-04-06,NA,NA,NA,NA
"43","O.  triseriatus",NA,NA,NA,NA,NA,NA,14,6,2009-04-06,NA,NA,NA,NA
"44","Anopheles crucians",2,NA,NA,NA,NA,6,34,6,2009-04-06,NA,NA,NA,NA
"45","A. quadrimaculatus",NA,NA,NA,NA,NA,NA,31,6,2009-04-06,NA,NA,NA,NA
"46","Culex  erraticus",NA,1,NA,NA,NA,31,25,6,2009-04-06,NA,NA,NA,NA
"47","C. nigrapalpus",2,5,NA,NA,NA,NA,42,6,2009-04-06,NA,NA,NA,NA
"48","C.  quinquefasciatus",NA,NA,NA,NA,NA,NA,27,6,2009-04-06,NA,NA,NA,NA
"49","C. restuans",NA,NA,NA,NA,NA,NA,21,6,2009-04-06,NA,NA,NA,NA
"50","C.  salinarius",1,1,NA,NA,NA,2,23,6,2009-04-06,NA,NA,NA,NA
"51","Culiseta  inornata",NA,NA,NA,NA,NA,NA,40,6,2009-04-06,NA,NA,NA,NA
"52","Culiseta  melanura",NA,1,NA,NA,NA,NA,41,6,2009-04-06,NA,NA,NA,NA
"53","Coquillettidia  perturbans",NA,NA,NA,NA,NA,3,60,6,2009-04-06,NA,NA,NA,NA
"54","Mansonia  titillans",NA,NA,NA,NA,NA,NA,47,6,2009-04-06,NA,NA,NA,NA
"55","M. dyari",NA,NA,NA,NA,NA,NA,48,6,2009-04-06,NA,NA,NA,NA
"56","Psorophora  ciliata",NA,NA,NA,NA,NA,NA,51,6,2009-04-06,NA,NA,NA,NA
"57","P. columbiae",NA,NA,NA,NA,NA,NA,50,6,2009-04-06,NA,NA,NA,NA
"58","P. ferox",NA,NA,NA,NA,NA,NA,52,6,2009-04-06,NA,NA,NA,NA
"59","P. howardii",NA,NA,NA,NA,NA,NA,54,6,2009-04-06,NA,NA,NA,NA
"60","Toxorhynchites rutilus",NA,NA,NA,NA,NA,NA,88,6,2009-04-06,NA,NA,NA,NA
"61","Uranotaenia  sapphirina",NA,NA,NA,NA,NA,NA,70,6,2009-04-06,NA,NA,NA,NA
"62","U.  lowii",NA,NA,NA,NA,NA,NA,71,6,2009-04-06,NA,NA,NA,NA
"63","Wyeomyia  mitchellii",NA,NA,NA,NA,NA,NA,80,6,2009-04-06,NA,NA,NA,NA
"64","W.  vanduzeei",NA,NA,NA,NA,NA,NA,82,6,2009-04-06,NA,NA,NA,NA
"65","Aedes albopictus",NA,NA,NA,NA,NA,NA,2,6,2008-04-14,NA,NA,NA,NA
"66","A. aegypti",NA,NA,NA,NA,NA,NA,3,6,2008-04-14,NA,NA,NA,NA
"67","A. vexans",NA,NA,NA,NA,NA,NA,1,6,2008-04-14,NA,NA,NA,NA
"68","Ochlerotatus atlanticus",23,12,10,5,12,86,9,6,2008-04-14,NA,NA,NA,NA
"69","O. dupreei",NA,NA,NA,NA,NA,NA,18,6,2008-04-14,NA,NA,NA,NA
"70","O. fulvus pallens",NA,NA,NA,NA,NA,NA,8,6,2008-04-14,NA,NA,NA,NA
"71","O. infirmatus",56,22,16,13,21,92,7,6,2008-04-14,NA,NA,NA,NA
"72","O.  mitchellae",NA,NA,NA,NA,NA,NA,6,6,2008-04-14,NA,NA,NA,NA
"73","O. solicitans",NA,NA,NA,NA,NA,NA,15,6,2008-04-14,NA,NA,NA,NA
"74","O.  taeniorhynchus",NA,NA,NA,NA,NA,NA,5,6,2008-04-14,NA,NA,NA,NA
"75","O.  triseriatus",NA,NA,NA,NA,NA,NA,14,6,2008-04-14,NA,NA,NA,NA
"76","Anopheles crucians",18,NA,8,NA,13,63,34,6,2008-04-14,NA,NA,NA,NA
"77","A. quadrimaculatus",NA,NA,NA,NA,NA,NA,31,6,2008-04-14,NA,NA,NA,NA
"78","Culex  erraticus",NA,3,NA,NA,NA,25,25,6,2008-04-14,NA,NA,NA,NA
"79","C. nigrapalpus",28,31,8,13,18,36,42,6,2008-04-14,NA,NA,NA,NA
"80","C.  quinquefasciatus",NA,NA,NA,NA,NA,NA,27,6,2008-04-14,NA,NA,NA,NA
"81","C. restuans",NA,NA,NA,NA,NA,NA,21,6,2008-04-14,NA,NA,NA,NA
"82","C.  salinarius",36,22,12,18,26,43,23,6,2008-04-14,NA,NA,NA,NA
"83","Culiseta  inornata",NA,NA,NA,NA,NA,NA,40,6,2008-04-14,NA,NA,NA,NA
"84","Culiseta  melanura",NA,NA,NA,NA,NA,NA,41,6,2008-04-14,NA,NA,NA,NA
"85","Coquillettidia  perturbans",NA,NA,NA,NA,2,12,60,6,2008-04-14,NA,NA,NA,NA
"86","Mansonia  titillans",NA,NA,NA,NA,NA,NA,47,6,2008-04-14,NA,NA,NA,NA
"87","M. dyari",NA,NA,NA,NA,NA,NA,48,6,2008-04-14,NA,NA,NA,NA
"88","Psorophora  ciliata",NA,NA,NA,NA,NA,NA,51,6,2008-04-14,NA,NA,NA,NA
"89","P. columbiae",NA,NA,NA,NA,NA,NA,50,6,2008-04-14,NA,NA,NA,NA
"90","P. ferox",NA,NA,NA,NA,NA,23,52,6,2008-04-14,NA,NA,NA,NA
"91","P. howardii",NA,NA,NA,NA,NA,NA,54,6,2008-04-14,NA,NA,NA,NA
"92","Toxorhynchites rutilus",NA,NA,NA,NA,NA,NA,88,6,2008-04-14,NA,NA,NA,NA
"93","Uranotaenia  sapphirina",NA,NA,NA,NA,NA,NA,70,6,2008-04-14,NA,NA,NA,NA
"94","U.  lowii",NA,NA,NA,NA,NA,NA,71,6,2008-04-14,NA,NA,NA,NA
"95","Wyeomyia  mitchellii",NA,NA,NA,NA,NA,NA,80,6,2008-04-14,NA,NA,NA,NA
"96","W.  vanduzeei",NA,NA,NA,NA,NA,NA,82,6,2008-04-14,NA,NA,NA,NA
"97","Aedes albopictus",NA,NA,NA,NA,NA,NA,2,6,2009-04-13,NA,NA,NA,NA
"98","A. aegypti",NA,NA,NA,NA,NA,NA,3,6,2009-04-13,NA,NA,NA,NA
"99","A. vexans",NA,NA,NA,NA,NA,NA,1,6,2009-04-13,NA,NA,NA,NA
"100","Ochlerotatus atlanticus",34,NA,NA,NA,NA,NA,9,6,2009-04-13,NA,NA,NA,NA
"101","O. dupreei",NA,NA,NA,NA,NA,NA,18,6,2009-04-13,NA,NA,NA,NA
"102","O. fulvus pallens",NA,NA,NA,NA,NA,NA,8,6,2009-04-13,NA,NA,NA,NA
"103","O. infirmatus",62,12,NA,10,NA,NA,7,6,2009-04-13,NA,NA,NA,NA
"104","O.  mitchellae",NA,NA,NA,NA,NA,NA,6,6,2009-04-13,NA,NA,NA,NA
"105","O. solicitans",NA,NA,NA,NA,NA,NA,15,6,2009-04-13,NA,NA,NA,NA
"106","O.  taeniorhynchus",NA,NA,NA,NA,NA,NA,5,6,2009-04-13,NA,NA,NA,NA
"107","O.  triseriatus",NA,NA,NA,NA,NA,NA,14,6,2009-04-13,NA,NA,NA,NA
"108","Anopheles crucians",4,1,NA,1,NA,4,34,6,2009-04-13,NA,NA,NA,NA
"109","A. quadrimaculatus",NA,NA,NA,NA,NA,NA,31,6,2009-04-13,NA,NA,NA,NA
"110","Culex  erraticus",NA,NA,NA,NA,NA,2,25,6,2009-04-13,NA,NA,NA,NA
"111","C. nigrapalpus",150,15,NA,3,NA,15,42,6,2009-04-13,NA,NA,NA,NA
"112","C.  quinquefasciatus",NA,NA,NA,NA,NA,NA,27,6,2009-04-13,NA,NA,NA,NA
"113","C. restuans",NA,NA,NA,NA,NA,NA,21,6,2009-04-13,NA,NA,NA,NA
"114","C.  salinarius",87,NA,NA,NA,NA,NA,23,6,2009-04-13,NA,NA,NA,NA
"115","Culiseta  inornata",NA,NA,NA,NA,NA,NA,40,6,2009-04-13,NA,NA,NA,NA
"116","Culiseta  melanura",23,NA,NA,NA,NA,NA,41,6,2009-04-13,NA,NA,NA,NA
"117","Coquillettidia  perturbans",NA,NA,NA,NA,NA,4,60,6,2009-04-13,NA,NA,NA,NA
"118","Mansonia  titillans",NA,NA,NA,NA,NA,NA,47,6,2009-04-13,NA,NA,NA,NA
"119","M. dyari",NA,NA,NA,NA,NA,NA,48,6,2009-04-13,NA,NA,NA,NA
"120","Psorophora  ciliata",2,1,NA,NA,NA,NA,51,6,2009-04-13,NA,NA,NA,NA
"121","P. columbiae",NA,2,NA,NA,NA,1,50,6,2009-04-13,NA,NA,NA,NA
"122","P. ferox",NA,NA,NA,2,NA,NA,52,6,2009-04-13,NA,NA,NA,NA
"123","P. howardii",NA,NA,NA,NA,NA,NA,54,6,2009-04-13,NA,NA,NA,NA
"124","Toxorhynchites rutilus",NA,NA,NA,NA,NA,NA,88,6,2009-04-13,NA,NA,NA,NA
"125","Uranotaenia  sapphirina",NA,NA,NA,NA,NA,NA,70,6,2009-04-13,NA,NA,NA,NA
"126","U.  lowii",NA,NA,NA,NA,NA,NA,71,6,2009-04-13,NA,NA,NA,NA
"127","Wyeomyia  mitchellii",NA,NA,NA,NA,NA,NA,80,6,2009-04-13,NA,NA,NA,NA
"128","W.  vanduzeei",NA,NA,NA,NA,NA,NA,82,6,2009-04-13,NA,NA,NA,NA
"129","Aedes albopictus",NA,NA,NA,NA,NA,NA,2,6,2008-04-14,NA,NA,NA,NA
"130","A. aegypti",NA,NA,NA,NA,NA,NA,3,6,2008-04-14,NA,NA,NA,NA
"131","A. vexans",NA,NA,NA,NA,NA,NA,1,6,2008-04-14,NA,NA,NA,NA
"132","Ochlerotatus atlanticus",23,12,10,5,12,86,9,6,2008-04-14,NA,NA,NA,NA
"133","O. dupreei",NA,NA,NA,NA,NA,NA,18,6,2008-04-14,NA,NA,NA,NA
"134","O. fulvus pallens",NA,NA,NA,NA,NA,NA,8,6,2008-04-14,NA,NA,NA,NA
"135","O. infirmatus",56,22,16,13,21,92,7,6,2008-04-14,NA,NA,NA,NA
"136","O.  mitchellae",NA,NA,NA,NA,NA,NA,6,6,2008-04-14,NA,NA,NA,NA
"137","O. solicitans",NA,NA,NA,NA,NA,NA,15,6,2008-04-14,NA,NA,NA,NA
"138","O.  taeniorhynchus",NA,NA,NA,NA,NA,NA,5,6,2008-04-14,NA,NA,NA,NA
"139","O.  triseriatus",NA,NA,NA,NA,NA,NA,14,6,2008-04-14,NA,NA,NA,NA
"140","Anopheles crucians",18,NA,8,NA,13,63,34,6,2008-04-14,NA,NA,NA,NA
"141","A. quadrimaculatus",NA,NA,NA,NA,NA,NA,31,6,2008-04-14,NA,NA,NA,NA
"142","Culex  erraticus",NA,3,NA,NA,NA,25,25,6,2008-04-14,NA,NA,NA,NA
"143","C. nigrapalpus",28,31,8,13,18,36,42,6,2008-04-14,NA,NA,NA,NA
"144","C.  quinquefasciatus",NA,NA,NA,NA,NA,NA,27,6,2008-04-14,NA,NA,NA,NA
"145","C. restuans",NA,NA,NA,NA,NA,NA,21,6,2008-04-14,NA,NA,NA,NA
"146","C.  salinarius",36,22,12,18,26,43,23,6,2008-04-14,NA,NA,NA,NA
"147","Culiseta  inornata",NA,NA,NA,NA,NA,NA,40,6,2008-04-14,NA,NA,NA,NA
"148","Culiseta  melanura",NA,NA,NA,NA,NA,NA,41,6,2008-04-14,NA,NA,NA,NA
"149","Coquillettidia  perturbans",NA,NA,NA,NA,2,12,60,6,2008-04-14,NA,NA,NA,NA
"150","Mansonia  titillans",NA,NA,NA,NA,NA,NA,47,6,2008-04-14,NA,NA,NA,NA
"151","M. dyari",NA,NA,NA,NA,NA,NA,48,6,2008-04-14,NA,NA,NA,NA
"152","Psorophora  ciliata",NA,NA,NA,NA,NA,NA,51,6,2008-04-14,NA,NA,NA,NA
"153","P. columbiae",NA,NA,NA,NA,NA,NA,50,6,2008-04-14,NA,NA,NA,NA
"154","P. ferox",NA,NA,NA,NA,NA,23,52,6,2008-04-14,NA,NA,NA,NA
"155","P. howardii",NA,NA,NA,NA,NA,NA,54,6,2008-04-14,NA,NA,NA,NA
"156","Toxorhynchites rutilus",NA,NA,NA,NA,NA,NA,88,6,2008-04-14,NA,NA,NA,NA
"157","Uranotaenia  sapphirina",NA,NA,NA,NA,NA,NA,70,6,2008-04-14,NA,NA,NA,NA
"158","U.  lowii",NA,NA,NA,NA,NA,NA,71,6,2008-04-14,NA,NA,NA,NA
"159","Wyeomyia  mitchellii",NA,NA,NA,NA,NA,NA,80,6,2008-04-14,NA,NA,NA,NA
"160","W.  vanduzeei",NA,NA,NA,NA,NA,NA,82,6,2008-04-14,NA,NA,NA,NA
"161","Aedes albopictus",NA,NA,NA,NA,NA,NA,2,6,2009-04-20,NA,NA,NA,NA
"162","A. aegypti",NA,NA,NA,NA,NA,NA,3,6,2009-04-20,NA,NA,NA,NA
"163","A. vexans",NA,5,23,4,NA,NA,1,6,2009-04-20,NA,NA,NA,NA
"164","Ochlerotatus atlanticus",NA,1,11,13,NA,NA,9,6,2009-04-20,NA,NA,NA,NA
"165","O. dupreei",NA,NA,NA,NA,NA,NA,18,6,2009-04-20,NA,NA,NA,NA
"166","O. fulvus pallens",NA,NA,NA,NA,NA,NA,8,6,2009-04-20,NA,NA,NA,NA
"167","O. infirmatus",10,10,150,87,NA,39,7,6,2009-04-20,NA,NA,NA,NA
"168","O.  mitchellae",NA,NA,NA,NA,NA,NA,6,6,2009-04-20,NA,NA,NA,NA
"169","O. solicitans",NA,NA,NA,NA,NA,NA,15,6,2009-04-20,NA,NA,NA,NA
"170","O.  taeniorhynchus",NA,NA,NA,NA,NA,NA,5,6,2009-04-20,NA,NA,NA,NA
"171","O.  triseriatus",NA,NA,NA,NA,NA,NA,14,6,2009-04-20,NA,NA,NA,NA
"172","Anopheles crucians",2,2,1,NA,NA,1,34,6,2009-04-20,NA,NA,NA,NA
"173","A. quadrimaculatus",NA,NA,NA,NA,NA,NA,31,6,2009-04-20,NA,NA,NA,NA
"174","Culex  erraticus",NA,1,3,NA,NA,5,25,6,2009-04-20,NA,NA,NA,NA
"175","C. nigrapalpus",13,6,12,2,NA,5,42,6,2009-04-20,NA,NA,NA,NA
"176","C.  quinquefasciatus",NA,NA,NA,NA,NA,NA,27,6,2009-04-20,NA,NA,NA,NA
"177","C. restuans",NA,NA,NA,NA,NA,NA,21,6,2009-04-20,NA,NA,NA,NA
"178","C.  salinarius",6,NA,NA,NA,NA,NA,23,6,2009-04-20,NA,NA,NA,NA
"179","Culiseta  inornata",NA,NA,NA,NA,NA,NA,40,6,2009-04-20,NA,NA,NA,NA
"180","Culiseta  melanura",NA,1,2,NA,NA,5,41,6,2009-04-20,NA,NA,NA,NA
"181","Coquillettidia  perturbans",NA,NA,2,NA,NA,NA,60,6,2009-04-20,NA,NA,NA,NA
"182","Mansonia  titillans",NA,NA,NA,NA,NA,NA,47,6,2009-04-20,NA,NA,NA,NA
"183","M. dyari",NA,NA,NA,NA,NA,NA,48,6,2009-04-20,NA,NA,NA,NA
"184","Psorophora  ciliata",NA,NA,NA,NA,NA,NA,51,6,2009-04-20,NA,NA,NA,NA
"185","P. columbiae",NA,2,NA,NA,NA,NA,50,6,2009-04-20,NA,NA,NA,NA
"186","P. ferox",NA,NA,NA,2,NA,8,52,6,2009-04-20,NA,NA,NA,NA
"187","P. howardii",NA,NA,NA,NA,NA,NA,54,6,2009-04-20,NA,NA,NA,NA
"188","Toxorhynchites rutilus",NA,NA,NA,NA,NA,NA,88,6,2009-04-20,NA,NA,NA,NA
"189","Uranotaenia  sapphirina",NA,NA,NA,NA,NA,NA,70,6,2009-04-20,NA,NA,NA,NA
"190","U.  lowii",NA,NA,NA,NA,NA,NA,71,6,2009-04-20,NA,NA,NA,NA
"191","Wyeomyia  mitchellii",NA,NA,NA,NA,NA,NA,80,6,2009-04-20,NA,NA,NA,NA
"192","W.  vanduzeei",NA,NA,NA,NA,NA,NA,82,6,2009-04-20,NA,NA,NA,NA
"193","Aedes albopictus",NA,NA,NA,NA,NA,NA,2,6,2008-04-21,NA,NA,NA,NA
"194","A. aegypti",NA,NA,NA,NA,NA,NA,3,6,2008-04-21,NA,NA,NA,NA
"195","A. vexans",NA,NA,NA,NA,NA,NA,1,6,2008-04-21,NA,NA,NA,NA
"196","Ochlerotatus atlanticus",18,24,12,5,9,27,9,6,2008-04-21,NA,NA,NA,NA
"197","O. dupreei",NA,NA,NA,NA,NA,NA,18,6,2008-04-21,NA,NA,NA,NA
"198","O. fulvus pallens",NA,NA,NA,NA,NA,NA,8,6,2008-04-21,NA,NA,NA,NA
"199","O. infirmatus",35,12,19,2,4,39,7,6,2008-04-21,NA,NA,NA,NA
"200","O.  mitchellae",NA,NA,NA,NA,NA,NA,6,6,2008-04-21,NA,NA,NA,NA
"201","O. solicitans",NA,NA,NA,NA,NA,NA,15,6,2008-04-21,NA,NA,NA,NA
"202","O.  taeniorhynchus",NA,NA,NA,NA,NA,NA,5,6,2008-04-21,NA,NA,NA,NA
"203","O.  triseriatus",NA,NA,NA,NA,NA,NA,14,6,2008-04-21,NA,NA,NA,NA
"204","Anopheles crucians",12,NA,NA,9,NA,15,34,6,2008-04-21,NA,NA,NA,NA
"205","A. quadrimaculatus",NA,NA,NA,NA,NA,NA,31,6,2008-04-21,NA,NA,NA,NA
"206","Culex  erraticus",NA,NA,NA,NA,NA,NA,25,6,2008-04-21,NA,NA,NA,NA
"207","C. nigrapalpus",NA,NA,2,NA,NA,NA,42,6,2008-04-21,NA,NA,NA,NA
"208","C.  quinquefasciatus",NA,NA,NA,NA,NA,NA,27,6,2008-04-21,NA,NA,NA,NA
"209","C. restuans",NA,NA,NA,NA,NA,NA,21,6,2008-04-21,NA,NA,NA,NA
"210","C.  salinarius",6,8,6,3,NA,NA,23,6,2008-04-21,NA,NA,NA,NA
"211","Culiseta  inornata",NA,NA,NA,NA,NA,NA,40,6,2008-04-21,NA,NA,NA,NA
"212","Culiseta  melanura",NA,NA,NA,NA,NA,NA,41,6,2008-04-21,NA,NA,NA,NA
"213","Coquillettidia  perturbans",NA,NA,NA,NA,NA,NA,60,6,2008-04-21,NA,NA,NA,NA
"214","Mansonia  titillans",NA,NA,NA,NA,NA,NA,47,6,2008-04-21,NA,NA,NA,NA
"215","M. dyari",NA,NA,NA,NA,NA,NA,48,6,2008-04-21,NA,NA,NA,NA
"216","Psorophora  ciliata",NA,NA,NA,NA,NA,NA,51,6,2008-04-21,NA,NA,NA,NA
"217","P. columbiae",NA,NA,NA,NA,NA,NA,50,6,2008-04-21,NA,NA,NA,NA
"218","P. ferox",NA,NA,NA,NA,NA,NA,52,6,2008-04-21,NA,NA,NA,NA
"219","P. howardii",NA,NA,NA,NA,NA,NA,54,6,2008-04-21,NA,NA,NA,NA
"220","Toxorhynchites rutilus",NA,NA,NA,NA,NA,NA,88,6,2008-04-21,NA,NA,NA,NA
"221","Uranotaenia  sapphirina",NA,NA,NA,NA,NA,NA,70,6,2008-04-21,NA,NA,NA,NA
"222","U.  lowii",NA,NA,NA,NA,NA,NA,71,6,2008-04-21,NA,NA,NA,NA
"223","Wyeomyia  mitchellii",NA,NA,NA,NA,NA,NA,80,6,2008-04-21,NA,NA,NA,NA
"224","W.  vanduzeei",NA,NA,NA,NA,NA,NA,82,6,2008-04-21,NA,NA,NA,NA
"225","Aedes albopictus",NA,NA,NA,NA,NA,NA,2,6,2009-04-27,NA,NA,NA,NA
"226","A. aegypti",NA,NA,NA,NA,NA,NA,3,6,2009-04-27,NA,NA,NA,NA
"227","A. vexans",9,NA,NA,12,NA,NA,1,6,2009-04-27,NA,NA,NA,NA
"228","Ochlerotatus atlanticus",4,NA,NA,164,NA,NA,9,6,2009-04-27,NA,NA,NA,NA
"229","O. dupreei",NA,NA,NA,NA,NA,NA,18,6,2009-04-27,NA,NA,NA,NA
"230","O. fulvus pallens",NA,NA,NA,NA,NA,NA,8,6,2009-04-27,NA,NA,NA,NA
"231","O. infirmatus",22,NA,39,NA,NA,3,7,6,2009-04-27,NA,NA,NA,NA
"232","O.  mitchellae",NA,NA,NA,NA,NA,NA,6,6,2009-04-27,NA,NA,NA,NA
"233","O. solicitans",NA,NA,NA,NA,NA,NA,15,6,2009-04-27,NA,NA,NA,NA
"234","O.  taeniorhynchus",NA,NA,NA,NA,NA,NA,5,6,2009-04-27,NA,NA,NA,NA
"235","O.  triseriatus",NA,NA,NA,NA,NA,NA,14,6,2009-04-27,NA,NA,NA,NA
"236","Anopheles crucians",3,NA,NA,NA,NA,8,34,6,2009-04-27,NA,NA,NA,NA
"237","A. quadrimaculatus",NA,NA,NA,NA,NA,NA,31,6,2009-04-27,NA,NA,NA,NA
"238","Culex  erraticus",3,NA,NA,NA,NA,22,25,6,2009-04-27,NA,NA,NA,NA
"239","C. nigrapalpus",4,NA,NA,NA,NA,2,42,6,2009-04-27,NA,NA,NA,NA
"240","C.  quinquefasciatus",NA,NA,NA,NA,NA,NA,27,6,2009-04-27,NA,NA,NA,NA
"241","C. restuans",NA,NA,NA,NA,NA,NA,21,6,2009-04-27,NA,NA,NA,NA
"242","C.  salinarius",NA,NA,NA,NA,NA,NA,23,6,2009-04-27,NA,NA,NA,NA
"243","Culiseta  inornata",NA,NA,NA,NA,NA,NA,40,6,2009-04-27,NA,NA,NA,NA
"244","Culiseta  melanura",9,NA,2,NA,NA,1,41,6,2009-04-27,NA,NA,NA,NA
"245","Coquillettidia  perturbans",NA,NA,NA,NA,NA,1,60,6,2009-04-27,NA,NA,NA,NA
"246","Mansonia  titillans",NA,NA,NA,NA,NA,NA,47,6,2009-04-27,NA,NA,NA,NA
"247","M. dyari",NA,NA,NA,NA,NA,NA,48,6,2009-04-27,NA,NA,NA,NA
"248","Psorophora  ciliata",NA,NA,NA,NA,NA,NA,51,6,2009-04-27,NA,NA,NA,NA
"249","P. columbiae",NA,NA,NA,NA,NA,NA,50,6,2009-04-27,NA,NA,NA,NA
"250","P. ferox",NA,NA,1,4,NA,NA,52,6,2009-04-27,NA,NA,NA,NA
"251","P. howardii",NA,NA,NA,NA,NA,NA,54,6,2009-04-27,NA,NA,NA,NA
"252","Toxorhynchites rutilus",NA,NA,NA,NA,NA,NA,88,6,2009-04-27,NA,NA,NA,NA
"253","Uranotaenia  sapphirina",NA,NA,NA,NA,NA,NA,70,6,2009-04-27,NA,NA,NA,NA
"254","U.  lowii",NA,NA,NA,NA,NA,NA,71,6,2009-04-27,NA,NA,NA,NA
"255","Wyeomyia  mitchellii",NA,NA,NA,NA,NA,NA,80,6,2009-04-27,NA,NA,NA,NA
"256","W.  vanduzeei",NA,NA,NA,NA,NA,NA,82,6,2009-04-27,NA,NA,NA,NA
"257","Aedes albopictus",NA,NA,NA,1,NA,NA,2,6,2008-04-28,NA,NA,NA,NA
"258","A. aegypti",NA,NA,NA,NA,NA,NA,3,6,2008-04-28,NA,NA,NA,NA
"259","A. vexans",NA,NA,NA,NA,NA,NA,1,6,2008-04-28,NA,NA,NA,NA
"260","Ochlerotatus atlanticus",NA,3,1,NA,NA,124,9,6,2008-04-28,NA,NA,NA,NA
"261","O. dupreei",NA,NA,NA,NA,NA,NA,18,6,2008-04-28,NA,NA,NA,NA
"262","O. fulvus pallens",NA,NA,NA,NA,NA,NA,8,6,2008-04-28,NA,NA,NA,NA
"263","O. infirmatus",NA,6,3,2,NA,113,7,6,2008-04-28,NA,NA,NA,NA
"264","O.  mitchellae",NA,NA,NA,NA,NA,NA,6,6,2008-04-28,NA,NA,NA,NA
